iter,Ux,Uy,k,omega,p
27,1.338020e-02,1.002010e-01,1.172220e-02,5.999620e-03,2.595260e-01
28,1.287750e-02,9.503890e-02,1.096620e-02,5.799580e-03,1.881410e-01
29,1.237920e-02,1.015870e-01,1.031260e-02,5.597590e-03,2.066250e-01
30,1.184730e-02,1.087020e-01,9.832390e-03,5.403550e-03,3.017940e-01
31,1.138640e-02,1.035910e-01,9.419660e-03,5.241160e-03,3.145180e-01
32,1.100360e-02,8.641960e-02,9.057650e-03,5.103790e-03,2.540690e-01
33,1.060040e-02,7.291640e-02,8.782000e-03,4.930910e-03,1.916480e-01
34,1.017430e-02,7.106370e-02,8.590590e-03,4.772980e-03,1.588220e-01
35,9.791770e-03,7.722920e-02,8.431530e-03,4.629700e-03,1.521830e-01
36,9.458420e-03,8.083530e-02,8.284850e-03,4.529450e-03,1.878230e-01
37,9.131420e-03,7.544470e-02,8.155820e-03,4.416800e-03,1.978020e-01
38,8.831360e-03,6.552730e-02,8.003270e-03,4.291700e-03,1.612070e-01
39,8.534360e-03,5.969930e-02,7.860160e-03,4.169730e-03,1.334390e-01
40,8.274590e-03,5.855570e-02,7.746520e-03,4.067480e-03,1.216020e-01
41,8.040340e-03,6.197040e-02,7.657590e-03,3.992590e-03,1.192280e-01
42,7.822490e-03,6.201370e-02,7.574170e-03,3.911730e-03,1.210550e-01
43,7.586480e-03,5.825130e-02,7.485180e-03,3.820710e-03,1.261690e-01
44,7.344660e-03,5.351760e-02,7.411930e-03,3.724150e-03,1.205600e-01
45,7.150810e-03,5.133230e-02,7.365060e-03,3.642260e-03,1.013010e-01
46,6.965540e-03,5.181830e-02,7.323610e-03,3.573890e-03,8.896480e-02
47,6.778440e-03,5.219670e-02,7.277330e-03,3.513110e-03,9.697680e-02
48,6.556340e-03,5.083180e-02,7.230150e-03,3.443670e-03,1.040790e-01
49,6.374580e-03,4.831460e-02,7.177070e-03,3.373290e-03,9.934530e-02
50,6.216780e-03,4.731800e-02,7.131580e-03,3.303910e-03,9.019770e-02
51,6.061100e-03,4.737180e-02,7.100230e-03,3.247360e-03,8.918160e-02
52,5.885010e-03,4.750050e-02,7.072020e-03,3.185890e-03,8.922860e-02
53,5.701000e-03,4.661930e-02,7.051920e-03,3.129060e-03,8.456110e-02
54,5.576490e-03,4.556050e-02,7.026430e-03,3.068080e-03,8.140390e-02
55,5.453800e-03,4.408640e-02,7.004400e-03,3.009690e-03,8.170190e-02
56,5.325160e-03,4.332110e-02,6.981830e-03,2.952040e-03,8.000110e-02
57,5.173920e-03,4.346370e-02,6.969690e-03,2.903360e-03,7.712350e-02
58,5.023780e-03,4.377440e-02,6.958860e-03,2.854070e-03,7.330840e-02
59,4.910740e-03,4.286380e-02,6.952460e-03,2.808700e-03,7.358920e-02
60,4.804040e-03,4.206770e-02,6.942080e-03,2.759300e-03,7.931070e-02
61,4.687600e-03,4.138370e-02,6.934840e-03,2.711010e-03,7.841070e-02
62,4.563390e-03,4.108360e-02,6.932270e-03,2.662140e-03,7.054410e-02
63,4.432880e-03,4.100390e-02,6.937780e-03,2.614870e-03,6.567320e-02
64,4.317900e-03,4.048300e-02,6.945790e-03,2.570180e-03,6.863670e-02
65,4.227520e-03,4.003020e-02,6.952420e-03,2.530760e-03,7.325070e-02
66,4.131310e-03,3.966480e-02,6.957540e-03,2.493110e-03,7.385460e-02
67,4.032250e-03,3.938960e-02,6.957180e-03,2.454910e-03,6.920430e-02
68,3.926910e-03,3.878850e-02,6.958030e-03,2.420990e-03,6.778630e-02
69,3.815650e-03,3.856970e-02,6.959710e-03,2.384210e-03,7.157120e-02
70,3.730780e-03,3.858400e-02,6.969620e-03,2.349240e-03,7.043680e-02
71,3.645620e-03,3.837380e-02,6.979350e-03,2.313240e-03,6.695190e-02
72,3.552720e-03,3.788310e-02,6.992850e-03,2.277440e-03,6.417170e-02
73,3.453610e-03,3.740100e-02,7.008090e-03,2.246950e-03,7.156900e-02
74,3.349720e-03,3.680670e-02,7.024710e-03,2.217570e-03,7.010560e-02
75,3.246480e-03,3.655310e-02,7.044220e-03,2.187300e-03,6.643210e-02
76,3.168970e-03,3.637920e-02,7.070770e-03,2.159250e-03,6.742760e-02
77,3.091970e-03,3.613420e-02,7.101530e-03,2.130890e-03,6.768910e-02
78,3.009420e-03,3.587590e-02,7.130300e-03,2.101130e-03,7.255500e-02
79,2.921500e-03,3.554620e-02,7.158350e-03,2.069570e-03,7.929000e-02
80,2.829130e-03,3.507170e-02,7.186210e-03,2.039200e-03,9.407700e-02
81,2.732900e-03,3.476010e-02,7.215050e-03,2.011970e-03,1.086240e-01
82,2.647450e-03,3.446680e-02,7.245150e-03,1.984620e-03,1.241890e-01
83,2.567790e-03,3.414460e-02,7.275970e-03,1.958400e-03,1.344950e-01
84,2.487010e-03,3.375450e-02,7.305570e-03,1.931040e-03,1.012930e-01
85,2.406240e-03,3.329090e-02,7.333230e-03,1.902290e-03,8.328890e-02
86,2.323760e-03,3.266370e-02,7.359630e-03,1.871290e-03,6.815950e-02
87,2.238590e-03,3.213790e-02,7.383430e-03,1.838390e-03,5.660670e-02
88,2.155000e-03,3.155110e-02,7.408280e-03,1.803550e-03,4.648730e-02
89,2.077820e-03,3.113280e-02,7.433290e-03,1.766050e-03,3.946930e-02
90,2.003840e-03,3.059180e-02,7.456920e-03,1.725170e-03,3.479360e-02
91,1.931420e-03,3.015470e-02,7.477760e-03,1.681630e-03,3.303440e-02
92,1.863500e-03,2.956820e-02,7.494960e-03,1.636520e-03,3.081020e-02
93,1.796680e-03,2.892300e-02,7.509380e-03,1.587740e-03,2.895770e-02
94,1.734400e-03,2.805170e-02,7.519510e-03,1.538680e-03,2.697300e-02
95,1.679870e-03,2.711510e-02,7.527520e-03,1.487420e-03,2.456240e-02
96,1.631770e-03,2.633510e-02,7.533100e-03,1.433830e-03,2.239280e-02
97,1.588410e-03,2.568640e-02,7.535870e-03,1.378300e-03,2.123150e-02
98,1.554980e-03,2.511400e-02,7.535300e-03,1.321330e-03,2.090020e-02
99,1.540380e-03,2.464600e-02,7.529050e-03,1.263290e-03,2.269840e-02
100,1.531150e-03,2.394620e-02,7.518540e-03,1.204890e-03,2.332170e-02
101,1.544140e-03,2.330840e-02,7.502370e-03,1.146810e-03,2.582230e-02
102,1.563450e-03,2.261690e-02,7.480720e-03,1.089320e-03,2.684430e-02
103,1.588400e-03,2.209680e-02,7.454760e-03,1.034960e-03,2.688560e-02
104,1.615910e-03,2.178100e-02,7.424410e-03,9.836720e-04,2.725090e-02
105,1.642540e-03,2.148270e-02,7.389070e-03,9.354490e-04,2.842890e-02
106,1.668340e-03,2.119610e-02,7.349120e-03,8.890580e-04,3.025350e-02
107,1.693360e-03,2.084690e-02,7.304530e-03,8.446180e-04,3.288120e-02
108,1.720300e-03,2.047460e-02,7.255440e-03,8.021930e-04,3.649220e-02
109,1.751960e-03,2.015120e-02,7.202060e-03,7.618160e-04,4.168730e-02
110,1.783510e-03,1.983750e-02,7.144450e-03,7.252880e-04,5.015190e-02
111,1.814050e-03,1.951170e-02,7.083030e-03,6.921970e-04,6.353300e-02
112,1.843670e-03,1.931210e-02,7.017820e-03,6.637090e-04,7.470230e-02
113,1.872360e-03,1.915140e-02,6.949370e-03,6.389320e-04,6.400520e-02
114,1.901650e-03,1.880460e-02,6.877490e-03,6.188370e-04,5.531230e-02
115,1.934590e-03,1.853490e-02,6.802470e-03,6.051200e-04,4.671840e-02
116,1.967370e-03,1.836000e-02,6.724280e-03,5.975680e-04,4.055390e-02
117,1.999000e-03,1.827880e-02,6.643480e-03,5.929690e-04,3.623220e-02
118,2.029490e-03,1.818580e-02,6.560590e-03,5.916110e-04,3.221950e-02
119,2.058830e-03,1.787830e-02,6.475910e-03,5.943580e-04,2.824510e-02
120,2.087030e-03,1.748360e-02,6.389600e-03,5.982820e-04,2.457990e-02
121,2.114120e-03,1.712550e-02,6.301800e-03,6.028930e-04,2.165310e-02
122,2.140320e-03,1.688680e-02,6.212630e-03,6.089060e-04,1.925950e-02
123,2.168080e-03,1.674360e-02,6.122200e-03,6.152140e-04,1.723860e-02
124,2.195880e-03,1.657270e-02,6.030620e-03,6.217270e-04,1.578890e-02
125,2.222350e-03,1.631460e-02,5.937980e-03,6.283920e-04,1.467010e-02
126,2.247500e-03,1.603100e-02,5.844380e-03,6.352120e-04,1.376080e-02
127,2.271360e-03,1.576360e-02,5.749930e-03,6.426770e-04,1.282230e-02
128,2.293940e-03,1.555270e-02,5.654710e-03,6.501380e-04,1.212390e-02
129,2.315290e-03,1.539180e-02,5.558840e-03,6.575290e-04,1.151990e-02
130,2.335420e-03,1.520970e-02,5.462390e-03,6.648200e-04,1.096040e-02
131,2.354370e-03,1.500790e-02,5.365490e-03,6.719870e-04,1.059500e-02
132,2.372150e-03,1.485790e-02,5.268200e-03,6.791740e-04,1.156570e-02
133,2.388820e-03,1.472990e-02,5.170530e-03,6.867150e-04,1.346400e-02
134,2.404470e-03,1.464610e-02,5.072240e-03,6.941880e-04,1.454400e-02
135,2.419120e-03,1.444310e-02,4.973540e-03,7.015400e-04,1.430420e-02
136,2.432760e-03,1.413160e-02,4.874790e-03,7.086570e-04,1.251040e-02
137,2.445410e-03,1.388160e-02,4.776220e-03,7.155490e-04,1.075030e-02
138,2.457080e-03,1.378870e-02,4.677900e-03,7.222800e-04,9.318460e-03
139,2.467810e-03,1.374110e-02,4.579890e-03,7.287390e-04,8.398980e-03
140,2.477620e-03,1.360250e-02,4.482280e-03,7.349050e-04,7.960020e-03
141,2.486550e-03,1.342240e-02,4.385140e-03,7.407790e-04,7.737190e-03
142,2.494600e-03,1.328110e-02,4.288530e-03,7.463600e-04,7.447130e-03
143,2.501810e-03,1.319370e-02,4.192520e-03,7.516500e-04,7.170030e-03
144,2.508210e-03,1.312130e-02,4.097180e-03,7.570970e-04,7.375180e-03
145,2.513820e-03,1.302530e-02,4.002210e-03,7.630260e-04,8.267240e-03
146,2.518670e-03,1.298550e-02,3.907660e-03,7.689520e-04,9.234700e-03
147,2.522790e-03,1.297550e-02,3.813360e-03,7.745570e-04,9.406890e-03
148,2.526200e-03,1.299880e-02,3.719890e-03,7.798380e-04,8.640380e-03
149,2.528910e-03,1.293010e-02,3.627440e-03,7.848070e-04,7.692330e-03
150,2.530950e-03,1.279300e-02,3.536010e-03,7.894480e-04,7.010830e-03
151,2.532330e-03,1.266580e-02,3.445670e-03,7.937930e-04,6.675490e-03
152,2.533090e-03,1.260180e-02,3.356490e-03,7.978760e-04,6.482120e-03
153,2.533230e-03,1.258870e-02,3.268480e-03,8.016870e-04,6.401030e-03
154,2.532780e-03,1.257630e-02,3.181660e-03,8.052030e-04,6.217990e-03
155,2.531760e-03,1.253590e-02,3.096070e-03,8.084740e-04,6.018620e-03
156,2.530180e-03,1.246390e-02,3.011740e-03,8.115060e-04,5.874460e-03
157,2.528060e-03,1.239790e-02,2.928640e-03,8.142650e-04,5.787570e-03
158,2.525410e-03,1.239970e-02,2.846680e-03,8.166780e-04,6.724270e-03
159,2.522390e-03,1.243220e-02,2.765190e-03,8.188790e-04,9.105560e-03
160,2.519050e-03,1.247290e-02,2.684070e-03,8.208310e-04,1.149920e-02
161,2.515480e-03,1.237900e-02,2.602950e-03,8.224810e-04,1.083990e-02
162,2.511490e-03,1.239770e-02,2.523490e-03,8.239010e-04,9.493530e-03
163,2.507090e-03,1.235780e-02,2.445620e-03,8.250860e-04,8.789560e-03
164,2.502160e-03,1.223180e-02,2.368880e-03,8.260350e-04,9.274410e-03
165,2.496640e-03,1.217940e-02,2.292770e-03,8.267450e-04,9.906660e-03
166,2.490660e-03,1.226070e-02,2.217670e-03,8.272050e-04,9.137140e-03
167,2.484280e-03,1.236710e-02,2.144110e-03,8.274090e-04,7.892600e-03
168,2.477370e-03,1.232890e-02,2.072080e-03,8.273620e-04,6.950500e-03
169,2.469880e-03,1.220070e-02,2.001550e-03,8.270810e-04,6.339490e-03
170,2.461910e-03,1.213430e-02,1.932500e-03,8.265800e-04,6.769080e-03
171,2.453680e-03,1.222320e-02,1.864170e-03,8.258890e-04,1.022770e-02
172,2.445320e-03,1.231740e-02,1.803380e-03,8.250430e-04,1.318220e-02
173,2.436500e-03,1.250150e-02,1.751710e-03,8.204880e-04,1.251660e-02
174,2.427440e-03,1.251770e-02,1.710650e-03,8.161170e-04,1.227060e-02
175,2.418120e-03,1.230310e-02,1.678290e-03,8.118350e-04,1.146060e-02
176,2.408460e-03,1.220690e-02,1.650720e-03,8.075850e-04,9.681520e-03
177,2.398440e-03,1.221430e-02,1.627580e-03,8.033320e-04,9.490790e-03
178,2.388080e-03,1.223510e-02,1.607230e-03,7.990580e-04,1.079790e-02
179,2.377400e-03,1.234250e-02,1.587180e-03,7.947450e-04,1.064830e-02
180,2.366420e-03,1.250390e-02,1.571560e-03,7.903720e-04,9.916050e-03
181,2.355260e-03,1.251860e-02,1.555880e-03,7.859480e-04,1.158500e-02
182,2.344090e-03,1.243570e-02,1.537190e-03,7.814790e-04,1.312770e-02
183,2.332750e-03,1.247730e-02,1.518240e-03,7.769520e-04,1.141140e-02
184,2.320930e-03,1.261040e-02,1.501490e-03,7.721820e-04,1.018080e-02
185,2.308540e-03,1.256140e-02,1.488970e-03,7.672960e-04,9.252250e-03
186,2.295690e-03,1.241920e-02,1.478340e-03,7.621810e-04,8.068320e-03
187,2.282460e-03,1.231700e-02,1.468310e-03,7.569890e-04,7.276830e-03
188,2.268980e-03,1.238220e-02,1.458260e-03,7.517640e-04,1.003530e-02
189,2.255160e-03,1.238340e-02,1.446550e-03,7.465360e-04,1.448070e-02
190,2.239910e-03,1.275950e-02,1.438240e-03,7.412910e-04,1.375390e-02
191,2.223390e-03,1.314400e-02,1.431610e-03,7.360020e-04,1.163470e-02
192,2.206530e-03,1.299480e-02,1.426020e-03,7.306640e-04,1.002680e-02
193,2.189020e-03,1.264070e-02,1.422710e-03,7.252770e-04,1.025880e-02
194,2.163900e-03,1.240260e-02,1.421570e-03,7.198670e-04,1.382150e-02
195,2.138890e-03,1.275560e-02,5.878490e-03,1.552290e-03,1.340830e-02
196,2.561640e-03,5.578390e-02,3.329540e-03,1.584560e-03,7.889900e-01
197,2.294110e-03,2.887390e-01,2.981630e-03,1.069300e-03,7.280370e-02
198,2.151800e-03,1.318200e-01,8.800990e-03,1.895150e-03,3.923270e-01
199,2.686430e-03,3.577750e-01,3.435710e-03,1.576550e-03,8.847480e-02
200,2.157360e-03,2.380750e-01,4.187920e-03,9.448620e-04,8.065200e-02
201,2.107710e-03,2.249270e-01,3.654020e-03,8.000230e-04,2.787510e-01
202,2.044500e-03,2.252680e-01,3.222830e-03,7.573060e-04,6.459470e-02
203,1.972620e-03,2.064100e-01,7.041290e-03,1.573350e-03,6.906140e-02
204,2.339130e-03,2.560730e-01,4.018360e-03,1.617120e-03,4.914130e-01
205,2.075150e-03,2.697510e-01,3.649130e-03,1.087140e-03,1.045300e-01
206,1.932120e-03,1.808470e-01,8.994160e-03,1.883780e-03,2.353810e-01
207,2.438990e-03,3.291690e-01,3.385710e-03,1.571950e-03,9.063080e-02
208,1.947980e-03,2.668400e-01,4.369250e-03,9.279740e-04,1.016350e-01
209,1.902170e-03,2.675690e-01,3.808140e-03,7.776240e-04,3.886940e-01
210,1.835860e-03,2.491220e-01,7.342850e-03,1.535920e-03,7.231990e-02
211,2.175150e-03,2.831080e-01,4.210160e-03,1.579020e-03,2.107740e-01
212,1.920940e-03,3.446730e-01,3.899760e-03,1.056720e-03,8.830860e-02
213,1.780420e-03,2.384370e-01,8.964350e-03,1.840360e-03,2.294380e-01
214,2.252250e-03,3.853450e-01,3.349770e-03,1.532500e-03,7.782240e-02
215,1.789450e-03,3.053490e-01,4.470750e-03,8.950970e-04,9.195390e-02
216,1.744500e-03,3.102790e-01,7.506260e-03,1.516530e-03,3.050590e-01
217,2.045250e-03,3.224080e-01,4.447990e-03,1.522730e-03,2.171700e-01
218,1.809390e-03,4.564020e-01,4.177550e-03,1.016340e-03,8.130690e-02
219,1.677990e-03,2.846020e-01,8.713120e-03,1.759980e-03,5.190870e-01
220,2.092070e-03,4.343370e-01,3.458950e-03,1.495680e-03,1.094220e-01
221,1.678660e-03,4.459980e-01,4.536710e-03,8.742200e-04,9.007840e-02
222,1.623470e-03,2.626010e-01,7.597410e-03,1.497170e-03,4.033190e-01
223,1.926160e-03,4.501440e-01,4.502050e-03,1.501450e-03,2.103090e-01
224,1.689740e-03,4.860570e-01,4.206580e-03,9.876210e-04,7.360560e-02
225,1.555590e-03,2.701600e-01,8.731490e-03,1.739970e-03,7.320600e-01
226,1.969810e-03,5.120400e-01,3.443530e-03,1.468080e-03,1.106790e-01
227,1.561250e-03,4.985620e-01,4.518920e-03,8.408790e-04,8.269520e-02
228,1.502870e-03,2.696950e-01,7.583430e-03,1.473530e-03,3.776030e-01
229,1.809550e-03,5.171170e-01,4.476810e-03,1.475080e-03,1.945630e-01
230,1.575870e-03,5.070950e-01,4.177340e-03,9.546860e-04,7.305630e-02
231,1.437260e-03,2.813580e-01,8.710330e-03,1.718100e-03,7.187930e-01
232,1.856420e-03,5.517710e-01,3.404360e-03,1.438780e-03,1.079660e-01
233,1.451090e-03,5.052400e-01,4.479870e-03,8.071140e-04,8.215430e-02
234,1.390030e-03,2.771660e-01,7.538730e-03,1.447540e-03,4.265520e-01
235,1.700380e-03,5.440890e-01,4.431700e-03,1.446490e-03,1.801500e-01
236,1.471090e-03,5.101920e-01,4.129980e-03,9.205830e-04,7.295760e-02
237,1.327650e-03,2.935900e-01,8.653570e-03,1.693940e-03,5.271560e-01
238,1.751290e-03,5.789510e-01,3.350270e-03,1.408490e-03,1.051240e-01
239,1.347490e-03,5.038370e-01,7.583470e-03,1.515410e-03,8.236270e-02
240,1.597750e-03,3.072050e-01,4.729170e-03,1.413010e-03,9.442150e-01
241,1.404900e-03,6.628970e-01,4.503050e-03,8.864370e-04,7.050170e-02
242,1.300350e-03,4.056120e-01,8.236810e-03,1.600440e-03,1.409720e-01
243,1.637540e-03,4.331060e-01,3.540380e-03,1.327590e-03,1.523210e-01
244,1.271590e-03,6.266310e-01,7.667740e-03,1.485560e-03,5.650130e-02
245,1.526710e-03,3.126420e-01,4.745500e-03,1.390970e-03,3.710350e-01
246,1.334460e-03,6.686530e-01,4.501520e-03,8.619200e-04,8.856100e-02
247,1.230760e-03,5.146330e-01,8.189650e-03,1.579090e-03,1.260170e-01
248,1.556790e-03,3.375600e-01,3.505920e-03,1.304430e-03,1.817520e-01
249,1.197000e-03,6.500250e-01,7.613860e-03,1.463480e-03,5.868140e-02
250,1.453090e-03,3.867080e-01,4.691040e-03,1.368680e-03,3.842090e-01
251,1.263130e-03,6.370480e-01,4.440170e-03,8.382940e-04,9.083220e-02
252,1.159080e-03,5.433730e-01,8.134300e-03,1.559590e-03,1.380820e-01
253,1.484150e-03,3.483110e-01,3.436940e-03,1.281640e-03,1.770170e-01
254,1.125810e-03,6.301770e-01,7.543250e-03,1.442650e-03,6.053030e-02
255,1.383260e-03,3.895460e-01,4.619350e-03,1.346580e-03,4.596400e-01
256,1.195660e-03,6.323380e-01,4.367080e-03,8.147680e-04,8.995880e-02
257,1.091240e-03,5.378370e-01,8.062160e-03,1.539690e-03,1.475570e-01
258,1.416350e-03,3.584820e-01,3.363070e-03,1.258790e-03,1.687520e-01
259,1.059640e-03,6.210380e-01,7.465500e-03,1.422240e-03,6.060280e-02
260,1.317980e-03,3.782120e-01,4.543430e-03,1.324850e-03,5.285310e-01
261,1.132460e-03,6.454400e-01,4.290620e-03,7.920340e-04,8.853290e-02
262,1.029080e-03,5.324790e-01,7.982300e-03,1.520210e-03,1.531260e-01
263,1.353090e-03,3.656150e-01,3.287680e-03,1.236710e-03,1.631980e-01
264,9.988400e-04,6.228980e-01,7.384310e-03,1.402490e-03,6.028530e-02
265,1.256920e-03,3.734380e-01,4.465940e-03,1.303910e-03,5.891320e-01
266,1.073390e-03,6.588340e-01,4.212870e-03,7.703990e-04,8.778910e-02
267,9.713780e-04,5.304200e-01,7.899230e-03,1.501470e-03,1.560480e-01
268,1.294070e-03,3.721460e-01,3.211890e-03,1.215630e-03,1.599200e-01
269,9.430570e-04,6.270990e-01,7.301730e-03,1.383560e-03,6.011990e-02
270,1.200040e-03,3.732410e-01,4.388230e-03,1.283900e-03,6.442750e-01
271,1.018490e-03,6.675900e-01,4.135340e-03,7.499520e-04,8.732350e-02
272,9.176870e-04,5.288320e-01,7.815810e-03,1.483560e-03,1.598010e-01
273,1.239590e-03,3.788490e-01,3.137450e-03,1.195620e-03,1.571220e-01
274,8.911010e-04,6.311810e-01,7.220220e-03,1.365500e-03,5.988490e-02
275,1.147170e-03,3.737030e-01,4.312440e-03,1.264890e-03,7.154430e-01
276,9.676600e-04,6.751800e-01,4.059840e-03,7.306960e-04,8.661560e-02
277,8.678330e-04,5.273990e-01,7.733790e-03,1.466500e-03,1.629870e-01
278,1.189530e-03,3.859860e-01,3.065050e-03,1.176700e-03,1.544290e-01
279,8.427950e-04,6.360770e-01,7.140340e-03,1.348340e-03,5.979880e-02
280,1.098080e-03,3.732480e-01,4.238640e-03,1.246910e-03,7.869760e-01
281,9.210330e-04,6.819180e-01,3.986590e-03,7.126350e-04,8.624460e-02
282,8.216400e-04,5.263000e-01,7.653950e-03,1.450290e-03,1.669130e-01
283,1.143080e-03,3.935900e-01,2.995330e-03,1.158970e-03,1.522610e-01
284,7.979280e-04,6.415060e-01,7.062770e-03,1.332060e-03,5.964800e-02
285,1.052530e-03,3.723700e-01,4.167240e-03,1.230000e-03,8.794300e-01
286,8.781180e-04,6.868430e-01,3.915640e-03,6.956730e-04,8.564020e-02
287,7.788110e-04,5.264880e-01,7.576090e-03,1.434930e-03,1.696230e-01
288,1.100000e-03,4.014280e-01,2.927650e-03,1.142290e-03,1.500730e-01
289,7.563660e-04,6.464380e-01,6.987090e-03,1.316660e-03,5.943600e-02
290,1.010320e-03,3.713570e-01,4.097830e-03,1.214020e-03,9.629320e-01
291,8.387140e-04,6.896570e-01,3.846760e-03,6.797580e-04,8.523720e-02
292,7.391480e-04,5.266720e-01,7.500170e-03,1.420400e-03,1.722210e-01
293,1.060690e-03,4.092170e-01,2.895250e-03,1.135730e-03,1.484310e-01
294,7.203540e-04,6.553730e-01,6.869680e-03,1.300110e-03,8.307450e-02
295,9.669810e-04,3.795070e-01,4.045000e-03,1.190330e-03,8.220920e-01
296,8.024300e-04,6.885040e-01,3.774160e-03,6.631210e-04,9.031640e-02
297,7.017690e-04,5.239020e-01,7.420540e-03,1.405910e-03,1.758330e-01
298,1.023900e-03,3.690080e-01,5.140940e-03,1.721720e-03,1.488770e-01
299,8.956970e-04,6.952480e-01,4.602920e-03,1.250530e-03,1.543300e-01
300,7.751330e-04,4.866690e-01,4.120450e-03,6.972270e-04,1.603910e-01
301,7.209710e-04,5.933230e-01,3.771550e-03,4.268370e-04,2.031660e-01
302,6.987670e-04,5.337110e-01,7.136720e-03,1.345640e-03,1.730490e-01
303,9.744080e-04,4.356340e-01,5.462150e-03,1.785590e-03,1.615570e-01
304,8.927590e-04,4.973310e-01,4.415220e-03,1.300870e-03,8.514090e-01
305,7.496670e-04,5.030920e-01,3.920440e-03,6.896040e-04,1.095930e-01
306,6.789040e-04,5.903370e-01,4.345320e-03,6.182060e-04,2.301550e-01
307,7.212290e-04,5.023870e-01,8.393090e-03,1.838040e-03,2.660150e-01
308,1.063400e-03,5.631260e-01,3.533970e-03,1.639650e-03,1.846550e-01
309,7.343200e-04,6.531150e-01,4.400400e-03,7.910190e-04,1.865560e-01
310,6.775070e-04,5.301050e-01,3.891480e-03,4.541020e-04,1.274310e-01
311,6.727040e-04,3.716060e-01,8.658260e-03,1.765050e-03,5.812230e-01
312,1.056260e-03,4.319840e-01,3.530320e-03,1.687960e-03,1.752500e-01
313,7.179660e-04,7.558920e-01,4.503170e-03,8.125210e-04,4.112560e-01
314,6.614470e-04,4.231360e-01,3.983090e-03,4.609640e-04,3.461590e-01
315,6.697320e-04,5.288750e-01,6.154490e-03,1.131370e-03,2.743260e-01
316,8.312910e-04,5.630130e-01,6.580290e-03,1.850690e-03,3.307900e-01
317,8.896330e-04,6.755400e-01,3.478100e-03,1.237440e-03,4.198700e-01
318,6.309950e-04,5.229760e-01,4.239140e-03,5.805490e-04,2.283260e-01
319,6.423580e-04,6.152920e-01,6.000930e-03,1.093330e-03,6.519690e-01
320,8.027930e-04,4.217270e-01,6.351280e-03,1.755920e-03,2.930930e-01
321,8.402500e-04,6.245020e-01,3.666260e-03,1.233300e-03,7.587860e-01
322,6.198470e-04,5.926090e-01,4.310040e-03,6.077670e-04,3.599310e-01
323,6.312320e-04,4.819940e-01,5.924680e-03,1.067790e-03,5.543940e-01
324,7.854530e-04,4.777130e-01,6.267830e-03,1.708740e-03,2.796060e-01
325,8.107410e-04,6.357090e-01,3.744430e-03,1.233670e-03,4.580670e-01
326,6.081220e-04,6.066210e-01,4.252070e-03,6.165360e-04,2.721130e-01
327,6.105560e-04,4.799230e-01,5.899930e-03,1.058110e-03,5.043740e-01
328,7.703530e-04,5.147940e-01,6.236970e-03,1.695010e-03,2.325160e-01
329,7.894500e-04,6.422560e-01,3.690890e-03,1.221510e-03,6.056040e-01
330,5.887410e-04,6.617380e-01,4.248530e-03,6.180920e-04,2.543790e-01
331,5.953840e-04,4.867510e-01,5.895320e-03,1.066160e-03,7.916310e-01
332,7.559420e-04,5.600530e-01,6.071630e-03,1.661200e-03,2.633380e-01
